audited_at,sha,test_file,test_title,runs,failures,flake_rate,quarantined
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle6-ui-tweaks.spec.ts,"Input Map and Output Map legends both render via the shared map-legend component, content-fit (not a fixed 220px)",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle6-ui-tweaks.spec.ts,"hides Ch5/Ch10 cards and solves, visible-only stats, hero cover ~96px",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle6-ui-tweaks.spec.ts,"/login shows the Register link, example.com placeholder, footer copy, and Chapter-3-only labs strip",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle6.1-legend-distances.spec.ts,"Input Map: one map-legend box, demand-bucket swatches size-encode and fit their cells, status entries align",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle6.1-legend-distances.spec.ts,"Output Map: legend shows Open (never a separate Forced Open entry), no demand ramp, entries follow their own layer toggle",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle6.1-legend-distances.spec.ts,"p-median-us: one merged table (no separate reference sub-table / old two-pager), base row stays read-only while its override marks Changed",20,1,0.050,yes
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,bundle6.1-legend-distances.spec.ts,Leg distances tab renders the restyled table with its leg badge column,20,2,0.100,yes
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,design-system.spec.ts,auth chrome: band header ink bg + primary button ≈ green-600 + accent focus-contrast (AA fix),20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,design-system.spec.ts,workspace chrome: Landing hero + AppShell header ink + Card radii/shadow + band-colored legend swatch,20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,design-system.spec.ts,Switch thumb shadow (utility depth) vs Dialog overlay shadow (overlay depth) stay decoupled,20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,empty-first-run-workspace.spec.ts,"brand-new account with zero scenarios: no crash, sensible empty state, create-first-scenario works",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,import.spec.ts,export → edit one demand → import applies exactly one change,20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,input-map-v2.spec.ts,add on map → Save → estimated-distance toast → Distances grid shows it → editing clears the chip → Run Optimizer solves,20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,input-map-v2.spec.ts,"dragging an added marker opens MoveConfirmDialog; confirming changes displayCode/location but keeps id stable, and its distances re-estimate on the next Save",20,0,0.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,input-map-v2.spec.ts,marker right-click never also opens the empty-space menu; ghost Copy lands at the drop point; Move Escape snaps back; overlays close on pan; a BASE marker has no Delete; keyboard Escape restores focus,20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,tab-coverage.spec.ts,"p-median-us: sweeps every Inputs tab, base row shows a real zip, map-added row shows coordinates with no zip",20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,tab-coverage.spec.ts,"transport-coal: sweeps every Inputs tab, base mine row shows a real zip, map-added mine shows coordinates with no zip",20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,tab-coverage.spec.ts,"two-echelon-gold-au: sweeps every Inputs tab, base refinery row shows a real zip, map-added refinery shows coordinates with no zip",20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,two-echelon.spec.ts,BOM sweep flips the selected refinery (Cunnamulla → Daggar Hills) and Compare surfaces the diff,20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,workspace-ux-r1-r9.spec.ts,"p-median-us: R1 green/blue, R2 quintile sizing + dim-but-in-scale excluded, R3 markers paint, R4 Save-in-Layers, R5 solve-input bands + displayedInputs, R7 hides closed WHs, R9 label/unit, R6+R8 facility compare",20,20,1.000,no
2026-09-11T14:14:32.837Z,4be058f869bd4112fc2d4dba81b3db5e12208a06,workspace-ux-r1-r9.spec.ts,transport-coal: R6+R8 compare omits facility-location rows entirely for a non-facility-location model,20,0,0.000,no
